timestamp,lat,lon,altitude,uid,tid
2008-12-21 07:20:54.000,40.0181799,116.3410466,128.0,17,017_20081221034239_9
2008-12-21 07:21:17.000,40.0180949,116.34096,128.0,17,017_20081221034239_9
2008-12-21 07:21:21.500,40.0179816,116.3409233,128.0,17,017_20081221034239_9
2008-12-21 07:21:31.500,40.0179566,116.3407283,128.0,17,017_20081221034239_9
2008-12-21 07:21:48.000,40.0179299,116.3406899,124.7,17,017_20081221034239_9
2008-12-21 07:21:52.000,40.0179316,116.3407983,121.4,17,017_20081221034239_9
2008-12-21 07:21:57.000,40.0179516,116.340905,118.1,17,017_20081221034239_9
2008-12-21 07:22:02.500,40.0180499,116.3409683,114.8,17,017_20081221034239_9
2008-12-21 07:22:07.000,40.0181999,116.3410949,114.8,17,017_20081221034239_9
2008-12-21 07:22:11.000,40.0181383,116.3411966,114.8,17,017_20081221034239_9
2008-12-21 07:22:16.500,40.0180583,116.341395,114.8,17,017_20081221034239_9
2008-12-21 07:22:22.000,40.0179333,116.3415133,108.3,17,017_20081221034239_9
